,thermal conductivity,thickness,annual_energy_kWh,normalized_energy
282,1.6,0.15,2943.3350981182775,0.9005923089900769
283,1.6,0.16,2926.944341732661,0.8955771174990186
284,1.6,0.17,2911.6218643495154,0.8908887946183661
285,1.6,0.18,2897.532748505091,0.8865778517773452
286,1.6,0.19,2882.1428939663015,0.8818689130489717
287,1.6,0.2,2870.55249008761,0.8783225181454788
288,1.7000000000000002,0.03,3272.574728282782,1.0
289,1.7000000000000002,0.04,3235.9869088266755,0.98881986738457
290,1.7000000000000002,0.05,3200.9279715830353,0.9781069149985945
291,1.7000000000000002,0.06,3167.5918423601643,0.9679204007122229
292,1.7000000000000002,0.07,3136.337087339312,0.958369891521176
293,1.7000000000000002,0.08,3107.3562984189325,0.9495142376930398
294,1.7000000000000002,0.09,3080.560728969594,0.941326320938149
295,1.7000000000000002,0.1,3055.78479705616,0.9337555444179642
296,1.7000000000000002,0.11,3032.8456320375876,0.9267460283875665
297,1.7000000000000002,0.12,3011.583190408257,0.9202488683852071
298,1.7000000000000002,0.13,2991.841646335742,0.9142164487426849
299,1.7000000000000002,0.14,2973.3840691475875,0.9085763706021807
300,1.7000000000000002,0.15,2956.0797634789515,0.9032886974074065
301,1.7000000000000002,0.16,2939.8434216298865,0.8983273617016869
302,1.7000000000000002,0.17,2924.7506818697652,0.8937154762557461
303,1.7000000000000002,0.18,2910.7845807963586,0.8894478575661844
304,1.7000000000000002,0.19,2898.2382937376947,0.8856140911588861
305,1.7000000000000002,0.2,2884.3573669570264,0.8813724991607862
306,1.8000000000000003,0.03,3276.472123996655,1.0
307,1.8000000000000003,0.04,3240.9848976637677,0.9891690742390326
308,1.8000000000000003,0.05,3206.9395204514335,0.9787782099423434
309,1.8000000000000003,0.06,3174.5207163699843,0.9688837860453671
310,1.8000000000000003,0.07,3144.0786267850053,0.9595926679058221
311,1.8000000000000003,0.08,3115.825931982711,0.9509697668912297
312,1.8000000000000003,0.09,3089.670177992594,0.9429868654654693
313,1.8000000000000003,0.1,3065.4642750450507,0.9355990709012303
314,1.8000000000000003,0.11,3043.0315297803522,0.9287524552683968
315,1.8000000000000003,0.12,3022.2074200985153,0.9223968053822517
316,1.8000000000000003,0.13,3002.8566387001906,0.9164908245998727
317,1.8000000000000003,0.14,2984.7709510701657,0.9109709584311462
318,1.8000000000000003,0.15,2967.7842890776715,0.9057865218329877
319,1.8000000000000003,0.16,2951.810085271314,0.9009110938721138
320,1.8000000000000003,0.17,2936.9555436281735,0.896377393879873
321,1.8000000000000003,0.18,2922.9731533291956,0.8921098799899877
322,1.8000000000000003,0.19,2910.2467221089287,0.8882256927487596
323,1.8000000000000003,0.2,2895.705997875596,0.8837877718133617
324,1.9000000000000001,0.03,3279.9826398791615,1.0
325,1.9000000000000001,0.04,3245.488968785065,0.9894835812010983
326,1.9000000000000001,0.05,3212.374445579128,0.9793876365447701
327,1.9000000000000001,0.06,3180.797382532549,0.969760432222816
328,1.9000000000000001,0.07,3151.1098428527644,0.9607093051470709
329,1.9000000000000001,0.08,3123.523968032207,0.9522989329441333
330,1.9000000000000001,0.09,3097.967901087037,0.9445074078810276
331,1.9000000000000001,0.1,3074.2973761521234,0.9372907462294935
332,1.9000000000000001,0.11,3052.3475939333816,0.9305987040363829
333,1.9000000000000001,0.12,3031.9399843955252,0.9243768389296187
334,1.9000000000000001,0.13,3012.9693678528374,0.9185930837621259
335,1.9000000000000001,0.14,2995.219465699872,0.9131814995856867
336,1.9000000000000001,0.15,2978.5614387670184,0.9081028059577633
337,1.9000000000000001,0.16,2962.8555583593625,0.9033144024410195
338,1.9000000000000001,0.17,2948.0465123012923,0.8987994254780268
339,1.9000000000000001,0.18,2934.254590863959,0.8945945491260467
340,1.9000000000000001,0.19,2921.457487721509,0.8906929726399829
341,1.9000000000000001,0.2,2909.923500948929,0.8871764946463662
342,2.0,0.03,3283.1579648652632,1.0
343,2.0,0.04,3249.5760822003117,0.9897714691086057
344,2.0,0.05,3217.310658862009,0.9799439117130764
345,2.0,0.06,3186.5070490481025,0.9705616004921265
346,2.0,0.07,3157.518790130579,0.9617322175541925
347,2.0,0.08,3130.555397074424,0.9535195779722095
348,2.0,0.09,3105.5602079687023,0.9459064233895766
349,2.0,0.1,3082.3959857171417,0.9388509534732787
350,2.0,0.11,3060.901389886838,0.9323040263804223
351,2.0,0.12,3040.8945028491294,0.9262102327671352
352,2.0,0.13,3022.2781667123613,0.9205399798167774
353,2.0,0.14,3004.8679089179477,0.9152370799926661
354,2.0,0.15,2988.4875364349064,0.9102478675763473
355,2.0,0.16,2973.0766932124047,0.9055539590323721
356,2.0,0.17,2958.5129845009756,0.9011180747809036
357,2.0,0.18,2944.9103743805326,0.8969749265480097
358,2.0,0.19,2932.1685031725347,0.8930939463014437
359,2.0,0.2,2920.3804241013067,0.8895034766385831
